"time","timeDate","close","high","low","open","volumefrom","volumeto"
1382572800000,"2013-10-24",3,3,3,3,2.71,8.12
1382659200000,"2013-10-25",3,3,3,3,0,0
1382745600000,"2013-10-26",3,3,3,3,0,0
1382832000000,"2013-10-27",3,3,3,3,0,0
1382918400000,"2013-10-28",3,3,3,3,0,0
1383004800000,"2013-10-29",3,3,3,3,0,0
1383091200000,"2013-10-30",3,3,3,3,0,0
1383177600000,"2013-10-31",3,3,3,3,0,0
1383264000000,"2013-11-01",3,3,3,3,0,0
1383350400000,"2013-11-02",3,3,3,3,0,0
1383436800000,"2013-11-03",3,3,3,3,0,0
1383523200000,"2013-11-04",3,3,3,3,7.27,21.81
1383609600000,"2013-11-05",3,3,3,3,0,0
1383696000000,"2013-11-06",3,3,3,3,0,0
1383782400000,"2013-11-07",3.2,3.2,3,3,9,28.8
1383868800000,"2013-11-08",3.2,3.2,3.2,3.2,0.8219,2.63
1383955200000,"2013-11-09",3.2,3.2,3.2,3.2,0,0
1384041600000,"2013-11-10",3.2,3.2,3.2,3.2,0,0
1384128000000,"2013-11-11",3.2,3.2,3.2,3.2,0,0
1384214400000,"2013-11-12",3.2,3.2,3.2,3.2,0,0
1384300800000,"2013-11-13",5,5,3.2,3.2,225.75,1128.77
1384387200000,"2013-11-14",3,5,3,5,12,38
1384473600000,"2013-11-15",5,5,3,3,10.06,50.3
1384560000000,"2013-11-16",4.25,5,4.25,5,5.07,21.54
1384646400000,"2013-11-17",4.25,4.25,4.25,4.25,0,0
1384732800000,"2013-11-18",5,5,4.25,4.25,5,25
1384819200000,"2013-11-19",9,10,5,5,29.14,272.36
1384905600000,"2013-11-20",9,9,9,9,2.47,22.26
1384992000000,"2013-11-21",9,9,9,9,94.53,850.74
1385078400000,"2013-11-22",10,11,9,9,63.81,658.15
1385164800000,"2013-11-23",12.8,14.5,10,10,2577.36,32377.01
1385251200000,"2013-11-24",10,13.8,10,12.8,7.62,96.56
1385337600000,"2013-11-25",12,14,10,10,183.41,2328.81
1385424000000,"2013-11-26",20.5,20.5,11,12,504.89,7634.59
1385510400000,"2013-11-27",35.99,50,20.5,20.5,457.22,14864.46
1385596800000,"2013-11-28",46.1,65,35.99,35.99,242.02,13001.19
1385683200000,"2013-11-29",41,50,30.2,46.1,292.59,11730.18
1385769600000,"2013-11-30",41,48,38,41,148.71,6048.13
1385856000000,"2013-12-01",35.3,41.21,24.48,41,50.11,1676.31
1385942400000,"2013-12-02",33.51,40.5,29.8,35.3,103.24,3620.97
1386028800000,"2013-12-03",33,36.4,32,33.51,208.13,7169.14
1386115200000,"2013-12-04",32.2,43,31,33,571.7,20974.84
1386201600000,"2013-12-05",38,42.99,29,32.2,700.64,24291.88
1386288000000,"2013-12-06",32,39.2,32,38,200.96,7020.76
1386374400000,"2013-12-07",22.78,32,11,32,334.46,7637.81
1386460800000,"2013-12-08",27.93,28.4,22.78,22.78,77.34,2092.79
1386547200000,"2013-12-09",31.98,32.59,27,27.93,116.9,3602.87
1386633600000,"2013-12-10",35.26,36.6,31.98,31.98,215.22,7327.32
1386720000000,"2013-12-11",31.57,35.26,28.78,35.26,428.65,13797.23
1386806400000,"2013-12-12",31,32.93,30.98,31.57,46.32,1459.21
1386892800000,"2013-12-13",30.59,33,30.01,31,127.04,3919.76
1386979200000,"2013-12-14",30.01,32.39,30.01,30.59,114.72,3515.69
1387065600000,"2013-12-15",30.92,31.8,29.15,30.01,251.9,7727.67
1387152000000,"2013-12-16",25.77,32.13,25,30.92,123.09,3419.23
1387238400000,"2013-12-17",23.74,29,20.01,25.77,223.59,5200.48
1387324800000,"2013-12-18",13,23.74,8.48,23.74,1001.01,14485.93
1387411200000,"2013-12-19",19.8,20,13,13,41.36,781.76
1387497600000,"2013-12-20",18.85,22,17.22,19.8,59.73,1168.64
1387584000000,"2013-12-21",17.13,18.85,17.13,18.85,9.36,169.56
1387670400000,"2013-12-22",18,19.01,17.13,17.13,133.66,2413.68
1387756800000,"2013-12-23",17.2,18.74,16.73,18,229.36,4050.06
1387843200000,"2013-12-24",18,18,17.2,17.2,53.75,944.91
1387929600000,"2013-12-25",22.06,22.06,17.5,18,310.75,5994.88
1388016000000,"2013-12-26",24.97,25,21.9,22.06,1008.08,24203.98
1388102400000,"2013-12-27",22.06,24.97,22,24.97,317.59,7416.26
1388188800000,"2013-12-28",22.33,23.33,22.06,22.06,12.11,270.87
1388275200000,"2013-12-29",24.51,24.51,22.32,22.33,39.77,928.64
1388361600000,"2013-12-30",24.96,25.18,23.16,24.51,187.11,4646.3
1388448000000,"2013-12-31",23.55,24.98,23.55,24.96,12.77,315.99
1388534400000,"2014-01-01",24.77,25,23.55,23.55,84.96,2048.27
1388620800000,"2014-01-02",26.6,26.6,23.88,24.77,192.65,4818.29
1388707200000,"2014-01-03",25.49,26.6,24.1,26.6,32.6,807.61
1388793600000,"2014-01-04",24.05,25.49,24.05,25.49,17.32,417.81
1388880000000,"2014-01-05",26.01,27,24.05,24.05,611,16138.62
1388966400000,"2014-01-06",28.7,31.26,22.23,26.01,455.47,12995.74
1389052800000,"2014-01-07",23,29.71,23,28.7,364.33,9318.1
1389139200000,"2014-01-08",24.9,26,22.19,23,239.07,5690.11
1389225600000,"2014-01-09",24.5,25.79,24,24.9,15.93,393.2
1389312000000,"2014-01-10",24.06,25.79,24,24.5,35.93,885.85
1389398400000,"2014-01-11",26.35,27.62,24.06,24.06,76.86,2015.33
1389484800000,"2014-01-12",25.39,26.45,24,26.35,86.59,2208.84
1389571200000,"2014-01-13",25.01,26.31,24,25.39,823.56,20878.49
1389657600000,"2014-01-14",24.52,25.01,24,25.01,8.85,213.29
1389744000000,"2014-01-15",24.52,25.47,24.39,24.52,19.19,471.28
1389830400000,"2014-01-16",24.01,25.37,24.01,24.52,71.97,1748.23
1389916800000,"2014-01-17",24,24.99,23.27,24.01,101.41,2426.34
1390003200000,"2014-01-18",24.94,24.99,23.5,24,518.55,12878.59
1390089600000,"2014-01-19",24.9,24.94,23.35,24.94,13.63,320.59
1390176000000,"2014-01-20",24.28,24.9,24.28,24.9,21.2,519.71
